"Continue","Devam Et"
"Connect","Bağlan"
"Login","Giriş Yap"
"Register","Üye Ol"
"Unable to retrieve access code","Bağlantı kodu (Access Code) alınamıyor."
"Required HTTP method is not supported","HTTP metodu desteklenmiyor."
"Unspecified OAuth error occurred","Tanımlanamayan OAuth hatası oluştu."
"HTTP error %d occurred while issuing request","%d HTTP hatası oluştu."
"No access token available","Bağlantı anahtarı (access token) bulunamadı."
"No refresh token, nothing to revoke","Yenileme anahtarı (refresh token) bulunamadı."
"No refresh token, unable to refresh access token","Yenileme anahtarı (refresh token) bulunamadı. Bağlantı anahtarı yenilenemiyor."
"Unspecified OAuth error occurred","Tanımlanamayan OAuth hatası oluştu."
"Unable to retrieve request token","İstek anahtarı (request token) alınamıyor."
"Unable to retrieve access token","Bağlantı anahtarı (access token) alınamıyor."
"Unable to proceeed without an access token","Bağlantı anahtarı (access token) olmadan devam edilemiyor."
"You have successfully disconnected your Facebook account from our store account.","Facebook hesabınızın sitemizle olan bağlantısını başarıyla kaldırdınız."
"Facebook Connect process aborted.","Facebookla bağlanma işlemi iptal edildi."
"Sorry, "%s" error occured. Please try again.",""%s" hatası oluştu. Lütfen tekrar deneyin."
"Your Facebook account is already connected to one of our store accounts.","Sitemizdeki hesabınız Facebook hesabınızla zaten ilişkilendirilmiş."
"Your Facebook account is now connected to your store accout. You can now login using our Facebook Connect button or using store account credentials you will receive to your email address.","Facebookla giriş başarılı. Bundan sonra dilerseniz 'Facebookla Bağlan' butonu ile dilerseniz de emailinize gelen giriş bilgileriyle sitemize giriş yapabilirsiniz."
"You have successfully logged in using your Facebook account.","Facebookla giriş başarılı."
"We have discovered you already have an account at our store. Your Facebook account is now connected to your store account.","Sitemize daha önceden kayıt olduğunuz için Facebook hesabınızı önceki hesabınızla ilişkilendirdik. Bundan sonra Facebook ile giriş yapabilirsiniz."
"Sorry, could not retrieve your Facebook first name. Please try again.","Facebook hesabınızdan isminizi alamıyoruz. Lütfen tekrar deneyin."
"Sorry, could not retrieve your Facebook last name. Please try again.","Facebook hesabınızdan soyadınızı alamıyoruz. Lütfen tekrar deneyin."
"Your Facebook account is now connected to your new user accout at our store. Now you can login using our Facebook Connect button or using store account credentials you will receive to your email address.","Facebookla giriş başarılı. Bundan sonra dilerseniz 'Facebookla Bağlan' butonu ile dilerseniz de emailinize gelen giriş bilgileriyle sitemize giriş yapabilirsiniz."
"You have successfully disconnected your Google account from our store account.","Sitemizin Google hesabınızla olan bağlantısını başarıyla kaldırdınız."
"Google Connect process aborted.","Google hesabıyla giriş işlemi iptal edildi."
"Sorry, "%s" error occured. Please try again.",""%s" hatası oluştu. Lütfen tekrar deneyin."
"Your Google account is already connected to one of our store accounts.","Sitemizdeki hesabınız Google hesabınızla zaten ilişkilendirilmiş."
"Your Google account is now connected to your store accout. You can now login using our Google Connect button or using store account credentials you will receive to your email address.","Google hesabıyla giriş başarılı. Bundan sonra dilerseniz 'Google Hesabıyla Bağlan' butonu ile dilerseniz de emailinize gelen giriş bilgileriyle sitemize giriş yapabilirsiniz."
"You have successfully logged in using your Google account.","Google hesabıyla giriş başarılı."
"We have discovered you already have an account at our store. Your Google account is now connected to your store account.","Sitemize daha önceden kayıt olduğunuz için Google hesabınızı önceki hesabınızla ilişkilendirdik. Bundan sonra Google ile giriş yapabilirsiniz."
"Sorry, could not retrieve your Google first name. Please try again.","Google hesabınızdan isminizi alamıyoruz. Lütfen tekrar deneyin."
"Sorry, could not retrieve your Google last name. Please try again.","Google hesabınızdan soyadınızı alamıyoruz. Lütfen tekrar deneyin."
"Your Google account is now connected to your new user accout at our store. Now you can login using our Google Connect button or using store account credentials you will receive to your email address.","Google hesabıyla giriş başarılı. Bundan sonra dilerseniz 'Google Hesabıyla Bağlan' butonu ile dilerseniz de emailinize gelen giriş bilgileriyle sitemize giriş yapabilirsiniz."
"You have successfully disconnected your Twitter account from our store account.","Twitter hesabınızın sitemizle olan bağlantısını başarıyla kaldırdınız."
"Twitter Connect process aborted.","Twitterla bağlanma işlemi iptal edildi."
"Your Twitter account is already connected to one of our store accounts.","Sitemizdeki hesabınız Twitter hesabınızla zaten ilişkilendirilmiş."
"Your Twitter account is now connected to your store accout. You can now login using our Twitter Connect button or using store account credentials you will receive to your email address.","Twitter hesabıyla giriş başarılı. Bundan sonra dilerseniz 'Twitterla Bağlan' butonu ile dilerseniz de emailinize gelen giriş bilgileriyle sitemize giriş yapabilirsiniz."
"You have successfully logged in using your Twitter account.","Twitter hesabıyla giriş başarılı."
"We have discovered you already have an account at our store. Your Twitter account is now connected to your store account.","Sitemize daha önceden kayıt olduğunuz için Twitter hesabınızı önceki hesabınızla ilişkilendirdik. Bundan sonra Twitter ile giriş yapabilirsiniz."
"Sorry, could not retrieve your Twitter last name. Please try again.","Twitter hesabınızdan soyadınızı alamıyoruz. Lütfen tekrar deneyin."
"Your Twitter account is now connected to your new user accout at our store. Now you can login using our Twitter Connect button.","Twitter hesabıyla giriş başarılı. Bundan sonra dilerseniz 'Twitterla Bağlan' butonu ile dilerseniz de emailinize gelen giriş bilgileriyle sitemize giriş yapabilirsiniz."
"Since Twitter doesn\'t support third-party access to your email address, we were unable to send you your store accout credentials. To be able to login using store account credentials you will need to update your email address and password using our <a href="%s">Edit Account Information</a>.","Twitter email adresinizi öğrenmemize izin vermiyor. Bundan dolayı giriş bilgilerinizi email ile gönderemiyoruz. <a href="%s">Hesap Bilgilerimi Düzenle</a> sayfasından email ve şifre bilgilerinizi güncelleyebilirsiniz."
"Google Connect","Google Hesabım"
"Facebook Connect","Facebook Hesabım"
"Twitter Connect","Twitter Hesabım"
"Customer My Account Google Connect","Customer My Account Google Connect"
"Customer My Account Facebook Connect","Customer My Account Facebook Connect"
"Customer My Account Twitter Connect","Customer My Account Twitter Connect"
"Connected as %s","Hesap: %s"
"Email: %s","Email: %s"
"Facebook #: %s","Facebook Kimliği: %s"
"Gender: %s","Cinsiyet: %s"
"Birthday: %s","Doğum Tarihi: %s"
"You can connect store account with your Facebook account so you could login easier in the future.","Sitemizdeki hesabınızı Facebook hesabınızla ilşkilendirebilir, sitemizde daha kolay işlem yapabilirsiniz."
"Google #: %s","Google Kimliği: %s"
"You can connect store account with your Google account so you could login easier in the future.","Sitemizdeki hesabınızı Google hesabınızla ilşkilendirebilir, sitemizde daha kolay işlem yapabilirsiniz."
"Twitter #: %s","Twitter Kimliği: %s"
"You can connect store account with your Twitter account so you could login easier in the future.","Sitemizdeki hesabınızı Twitter hesabınızla ilşkilendirebilir, sitemizde daha kolay işlem yapabilirsiniz."
"You can continue with checkout using your <strong>Google</strong> account.","<strong>Google</strong> hesabınızla sipariş verebilirsiniz."
"You can continue with checkout using your <strong>Facebook</strong> account.","<strong>Facebook</strong> hesabınızla sipariş verebilirsiniz."
"You can continue with checkout using your <strong>Twitter</strong> account.","<strong>Twitter</strong> hesabınızla sipariş verebilirsiniz."
"You can login using your Google account.","Google hesabınızla giriş yapabilirsiniz."
"You can login using your Facebook account.","Facebook hesabınızla giriş yapabilirsiniz."
"You can login using your Twitter account.","Twitter hesabınızla giriş yapabilirsiniz."
"You can register using your Google account.","Google hesabınızla üye olabilirsiniz."
"You can register using your Facebook account.","Facebook hesabınızla üye olabilirsiniz."
"You can register using your Twitter account.","Twitter hesabınızla üye olabilirsiniz."
