"Continue","Continua"
"Connect","Connessione"
"Disconnect","Disconnessione"
"Login","Accedi"
"Register","Registrati"
"Unable to retrieve access code","Impossibile recuperare il codice di accesso"
"Required HTTP method is not supported","Metodo HTTP richiesto non supportato"
"Unspecified OAuth error occurred","Verificato un errore OAuth non specificato"
"HTTP error %d occurred while issuing request","Errore HTTP verificato durante l'emissione di richiesta"
"No access token available","Nessun token d'accesso disponibile"
"No refresh token, nothing to revoke","Token non aggiornamento, niente da revocare"
"No refresh token, unable to refresh access token","Nessun token di aggiornamento in grado di aggiornare il token di accesso"
"Unable to retrieve request token","Impossibile recuperare richiesta token"
"Unable to retrieve access token","Impossibile recuperare token di accesso"
"Unable to proceed without an access token","Impossibile procedere senza un token di accesso"
"You have successfully disconnected your Facebook account from our store account.","È stato disconnesso con successo il Suo account Facebook dal nostro sito."
"Facebook Connect process aborted.","Processo di connessione Facebook interrotto."
"Sorry, "%s" error occured. Please try again.","Siamo spiacenti, si è verificato "%s" errore. Riprova."
"Your Facebook account is already connected to one of our store accounts.","Il tuo account di Facebook è già connesso al nostro negozio."
"Your Facebook account is now connected to your store accout. You can now login using our Facebook Connect button or using store account credentials you will receive to your email address.","Il tuo account Facebook è ora connesso al nostro negozio. È ora possibile effettuare il login utilizzando il nostro pulsante "Connetti con Facebook" o utilizzando le informazioni dell'account negozio ricevute al tuo indirizzo email."
"You have successfully logged in using your Facebook account.","Eseguito l'accesso con il tuo account Facebook."
"We have discovered you already have an account at our store. Your Facebook account is now connected to your store account.","Abbiamo scoperto che hai già un account presso il nostro negozio. Il tuo account Facebook è ora collegato al tuo account negozio!"
"Sorry, could not retrieve your Facebook first name. Please try again.","Spiacenti, non riusciamo a recuperare il nome da Facebook. Riprova."
"Sorry, could not retrieve your Facebook last name. Please try again.","Spiacenti, non riusciamo a recuperare il cognome da Facebook. Riprova."
"Your Facebook account is now connected to your new user accout at our store. Now you can login using our Facebook Connect button or using store account credentials you will receive to your email address.","Il tuo account Facebook è ora connesso al nostro negozio. È ora possibile effettuare il login utilizzando il nostro pulsante "Connetti con Facebook" o utilizzando le informazioni dell'account negozio ricevute al tuo indirizzo email."
"You have successfully disconnected your Google account from our store account.","È stato disconnesso con successo il vostro account Google dal nostro sito."
"Google Connect process aborted.","Processo Google Connect interrotto."
"Your Google account is already connected to one of our store accounts.","Il tuo account Google è già collegato al nostro sito."
"Your Google account is now connected to your store accout. You can now login using our Google Connect button or using store account credentials you will receive to your email address.","Il tuo account Google è ora connesso al nostro negozio. È ora possibile effettuare il login utilizzando il nostro pulsante "Connetti con Google" o utilizzando le informazioni dell'account negozio ricevute al tuo indirizzo email."
"You have successfully logged in using your Google account.","Eseguito l'accesso con il tuo account Google."
"We have discovered you already have an account at our store. Your Google account is now connected to your store account.","Abbiamo scoperto che hai già un account presso il nostro negozio. Il tuo account Google è ora collegato al tuo account negozio!"
"Sorry, could not retrieve your Google first name. Please try again.","Spiacenti, non riusciamo a recuperare il nome da Google. Riprova."
"Sorry, could not retrieve your Google last name. Please try again.","Spiacenti, non riusciamo a recuperare il cognome da Google. Riprova."
"Your Google account is now connected to your new user accout at our store. Now you can login using our Google Connect button or using store account credentials you will receive to your email address.","Il tuo account Google è ora connesso al nostro negozio. È ora possibile effettuare il login utilizzando il nostro pulsante "Connetti con Google" o utilizzando le informazioni dell'account negozio ricevute al tuo indirizzo email."
"You have successfully disconnected your Twitter account from our store account.","È stato disconnesso con successo il tuo account Twitter dal nostro sito."
"Twitter Connect process aborted.","Processo Twitter Connect interrotto."
"Your Twitter account is already connected to one of our store accounts.","il tuo account Twitter è già connesso con il nostro sito."
"Your Twitter account is now connected to your store accout. You can now login using our Twitter Connect button or using store account credentials you will receive to your email address.","Il tuo account Twitter è ora connesso al nostro negozio. È ora possibile effettuare il login utilizzando il nostro pulsante "Connetti con Twitter" o utilizzando le informazioni dell'account negozio ricevute al tuo indirizzo email."
"You have successfully logged in using your Twitter account.","Eseguito l'accesso con il tuo account Twitter."
"We have discovered you already have an account at our store. Your Twitter account is now connected to your store account.","Abbiamo scoperto che hai già un account presso il nostro negozio. Il tuo account Twitter è ora collegato al tuo account negozio!"
"Sorry, could not retrieve your Twitter last name. Please try again.","Spiacenti, non riusciamo a recuperare il cognome da Twitter. Riprova"
"Your Twitter account is now connected to your new user accout at our store. Now you can login using our Twitter Connect button.","Il tuo account Twitter è ora connesso al nostro negozio. È ora possibile effettuare il login utilizzando il nostro pulsante "Connetti con Twitter" o utilizzando le informazioni dell'account negozio ricevute al tuo indirizzo email."
"Since Twitter doesn\'t support third-party access to your email address, we were unable to send you your store accout credentials. To be able to login using store account credentials you will need to update your email address and password using our <a href="%s">Edit Account Information</a>.","Dal momento che Twitter non supporta l'accesso di terze parti per il Vostro indirizzo e-mail, vi abbiamo inviato una email di informazioni. Per essere in grado di effettuare il login utilizzando le credenziali del vostro account è necessario aggiornare l'indirizzo e-mail e la password utilizzando il nostro <a href="%s"> Modifica Informazioni account </a>."
"You have successfully disconnected your Linkedin account from our store account.","È stato disconnesso con successo il tuo account Linkedin dal nostro sito."
"Linkedin Connect process aborted.","Processo Linkedin Connect interrotto."
"Your Linkedin account is already connected to one of our store accounts.","il tuo account Linkedin è già connesso con il nostro sito."
"Your Linkedin account is now connected to your store accout. You can now login using our Linkedin Connect button or using store account credentials you will receive to your email address.","Il tuo account Linkedin è ora connesso al nostro negozio. È ora possibile effettuare il login utilizzando il nostro pulsante "Connetti con Linkedin" o utilizzando le informazioni dell'account negozio ricevute al tuo indirizzo email."
"You have successfully logged in using your Linkedin account.","Eseguito l'accesso con il tuo account Linkedin."
"We have discovered you already have an account at our store. Your Linkedin account is now connected to your store account.","Abbiamo scoperto che hai già un account presso il nostro negozio. Il tuo account Linkedin è ora collegato al tuo account negozio!"
"Sorry, could not retrieve your Linkedin last name. Please try again.","Spiacenti, non riusciamo a recuperare il nome da Linkedin. Riprova"
"Sorry, could not retrieve your Google first name. Please try again.","Spiacenti, non riusciamo a recuperare il cognome da Linkedin. Riprova."
"Your Linkedin account is now connected to your new user accout at our store. Now you can login using our Linkedin Connect button.","Il tuo account Linkedin è ora connesso al nostro negozio. È ora possibile effettuare il login utilizzando il nostro pulsante "Connetti con Linkedin" o utilizzando le informazioni dell'account negozio ricevute al tuo indirizzo email."
"Google Connect","Google Connect"
"Facebook Connect","Facebook Connect"
"Twitter Connect","Twitter Connect"
"Linkedin Connect","Linkedin Connect"
"Customer My Account Google Connect","Il mio account Google"
"Customer My Account Facebook Connect","Il mio account Facebook"
"Customer My Account Twitter Connect","Il mio account Twitter"
"Customer My Account Linkedin Connect","Il mio account Linkedin"
"Connected as %s","Connesso come %s"
"Email: %s","Email: %s"
"Facebook #: %s","Facebook #: %s"
"Gender: %s","Uomo/Donna: %s"
"Birthday: %s","Data di nascita: %s"
"You can connect store account with your Facebook account so you could login easier in the future.","È possibile collegare il vostro account nel nostro sito con il vostro account Facebook così da poter accedere più facilmente in futuro."
"Google #: %s","Google #: %s"
"You can connect store account with your Google account so you could login easier in the future.","È possibile collegare il vostro account nel nostro sito con il vostro account Google così da poter accedere più facilmente in futuro."
"Twitter #: %s","Twitter #: %s"
