"Continue","Continuar"
"Connect","Conectar"
"Disconnect","Desconnectar"
"Login","Acceder"
"Register","Registrarse"
"Unable to retrieve access code","Imposible recuperar el código de acceso"
"Required HTTP method is not supported","El método HTTP requerido no esta soportado"
"Unspecified OAuth error occurred","Ha ocurrido un error inesperado en OAuth"
"HTTP error %d occurred while issuing request","Error HTTP %d procesando la petición"
"No access token available","El access token no está disponible"
"No refresh token, nothing to revoke","No se ha actualizado el token, sin cambios"
"No refresh token, unable to refresh access token","No se ha actualizado el token, imposible actualizar el token de acceso"
"Unable to retrieve request token","Imposible recibir el request token solicitado"
"Unable to retrieve access token","Imposible recibir el access token solicitado"
"Unable to proceed without an access token","Imposible continuar sin un access token"
"You have successfully disconnected your Facebook account from our store account.","Se a desconectado tu cuenta de Facebook de la cuenta de nuestra tienda."
"Facebook Connect process aborted.","Proceso de Facebook Connect abortado."
"Sorry, "%s" error occured. Please try again.","Disculpa, "%s" ha ocurrido un error. Porfavor vuelve a intentarlo."
"Your Facebook account is already connected to one of our store accounts.","Tu cuenta de Facebook ya esta conectada con alguna de nuestras tiendas."
"Your Facebook account is now connected to your store accout. You can now login using our Facebook Connect button or using store account credentials you will receive to your email address.","Tu cuenta de Facebook ya esta conectada con nuestra tienda. Ahora puedes acceder a la página desde el botón de Facebook Connect o usando los credenciales que le hemos enviado por correo electrónico."
"You have successfully logged in using your Facebook account.","Ha accedido correctamente usando su cuenta de Facebook."
"We have discovered you already have an account at our store. Your Facebook account is now connected to your store account.","Hemos descubierto que ya tiene una cuenta en nuestra tienda. La cuenta de Facebook a sido vinculada a su cuenta personal."
"Sorry, could not retrieve your Facebook first name. Please try again.","Disculpa, No podemos recibir tu nombre de Facebook. Porfavor vuelve a intentarlo."
"Sorry, could not retrieve your Facebook last name. Please try again.","Disculpa, No podemos recibir tus apellidos de Facebook. Porfavor vuelve a intentarlo"
"Your Facebook account is now connected to your new user accout at our store. Now you can login using our Facebook Connect button or using store account credentials you will receive to your email address.","Tu cuenta de Facebook a sido vinculada a cuenta nueva en nuestra tienda. Ahora puedes acceder usando el botón de Facebook Connect o usando los credenciales que te hemos enviado por correo electrónico."
"You have successfully disconnected your Google account from our store account.","Hemos desconectado correctamente tu cuenta de Google de nuestra tienda."
"Google Connect process aborted.","Proceso de conexión con Google abortado."
"Your Google account is already connected to one of our store accounts.","Tu cuenta de Google ya esta conectada con nuestra tienda."
"Your Google account is now connected to your store accout. You can now login using our Google Connect button or using store account credentials you will receive to your email address.","Tu cuenta de Google ya esta conectada con nuestra tienda. Ahora puedes usar nuestro botón de Google Connect o usar los credenciales que te hemos enviado por correo electrónico."
"You have successfully logged in using your Google account.","Gracias por acceder con tu cuenta de Google."
"We have discovered you already have an account at our store. Your Google account is now connected to your store account.","Hemos descubierto que ya tienes una cuenta en nuestra tienda. Tu cuenta de Google se a vinculado con tu cuenta personal."
"Sorry, could not retrieve your Google first name. Please try again.","Disculpa, No podemos recibir tu nombre de la cuenta de Google. Porfavor, vuelve a intentarlo."
"Sorry, could not retrieve your Google last name. Please try again.","Disculpa, No podemos recibir tus apellidos de la cuenta de Google. Porfavor, vuelve a intentarlo."
"Your Google account is now connected to your new user accout at our store. Now you can login using our Google Connect button or using store account credentials you will receive to your email address.","Tu cuenta de Google esta ahora vinculada a una nueva cuenta en nuestra tienda. Ahora puedes acceder desde nuestro botón de Google Connect o usando los credenciales que te hemos enviado por correo electrónico."
"You have successfully disconnected your Twitter account from our store account.","Hemos desconectado correctamente tu cuenta de Twitter de nuestra tienda."
"Twitter Connect process aborted.","Proceso de conexión con Twitter abortado."
"Your Twitter account is already connected to one of our store accounts.","Tu cuenta de Twitter ya esta conectada con nuestra tienda."
"Your Twitter account is now connected to your store accout. You can now login using our Twitter Connect button or using store account credentials you will receive to your email address.","Tu cuenta de Twitter ya esta conectada con nuestra tienda. Ahora puedes usar nuestro botón de Twitter Connect o usar los credenciales que te hemos enviado por correo electrónico."
"You have successfully logged in using your Twitter account.","Gracias por acceder con tu cuenta de Twitter."
"We have discovered you already have an account at our store. Your Twitter account is now connected to your store account.","Hemos descubierto que ya tienes una cuenta en nuestra tienda. Tu cuenta de Twitter se a vinculado con tu cuenta personal."
"Sorry, could not retrieve your Twitter last name. Please try again.","Disculpa, No podemos recibir tus apellidos de la cuenta de Twitter. Porfavor, vuelve a intentarlo."
"Your Twitter account is now connected to your new user accout at our store. Now you can login using our Twitter Connect button.","Tu cuenta de Twitter esta ahora vinculada a una nueva cuenta en nuestra tienda. Ahora puedes acceder desde nuestro botón de Twitter Connect"
"Since Twitter doesn\'t support third-party access to your email address, we were unable to send you your store accout credentials. To be able to login using store account credentials you will need to update your email address and password using our <a href="%s">Edit Account Information</a>.","Twitter no nos permite el acceso a los datos de tu correo electrónico. Para poder acceder usando los datos de tu nueva cuenta con correo electrónico y contraseña puedes <a href="%s">Modificarlos desde Información de la cuenta</a>."
"Google Connect","Google Connect"
"Facebook Connect","Facebook Connect"
"Twitter Connect","Twitter Connect"
"Customer My Account Google Connect","Mi conexión con Google"
"Customer My Account Facebook Connect","Mi conexión con Facebook"
"Customer My Account Twitter Connect","Mi conexión con Twitter"
"Connected as %s","Conectado como %s"
"Email: %s","Correo electrónico: %s"
"Facebook #: %s","Facebook #: %s"
"Gender: %s","Sexo: %s"
"Birthday: %s","Fecha de nacimiento: %s"
"You can connect store account with your Facebook account so you could login easier in the future.","Puedes conectar tu cuenta de Facebook para acceder de forma más sencilla en el futuro."
"Google #: %s","Google #: %s"
"You can connect store account with your Google account so you could login easier in the future.","Puedes conectar tu cuenta de Google para acceder de forma más sencilla en el futuro."
"Twitter #: %s","Twitter #: %s"
"You can connect store account with your Twitter account so you could login easier in the future.","Puedes conectar tu cuenta de Twitter para acceder de forma más sencilla en el futuro."
"You can continue with checkout using your <strong>Google</strong> account.","Continua tu compra con tu cuenta de <strong>Google</strong>."
"You can continue with checkout using your <strong>Facebook</strong> account.","Continua tu compra con tu cuenta de <strong>Facebook</strong>."
"You can continue with checkout using your <strong>Twitter</strong> account.","Continua tu compra con tu cuenta de <strong>Twitter</strong>."
"You can login using your Google account.","Puedes Acceder usanto tu cuenta de Google."
"You can login using your Facebook account.","Puedes Acceder usanto tu cuenta de Facebook."
"You can login using your Twitter account.","Puedes Acceder usanto tu cuenta de Twitter."
"You can register using your Google account.","Puedes registrarte usando tu cuenta de Google."
"You can register using your Facebook account.","Puedes registrarte usando tu cuenta de Facebook."
"You can register using your Twitter account.","Puedes registrarte usando tu cuenta de Twitter."
