"Continue","Continuar"
"Connect","Conectar"
"Disconnect","Desconectar"
"Login","Iniciar sesión"
"Register","Registrarse"
"Unable to retrieve access code","Imposible obtener código de acceso"
"Required HTTP method is not supported","Metodo HTTP requerido no es soportado"
"Unspecified OAuth error occurred","Ha ocurrido un error OAuth no especificado"
"HTTP error %d occurred while issuing request","Ha ocurrido un error HTTP %d mientras la solicitud era procesada"
"No access token available","No hay token de acceso disponible"
"No refresh token, nothing to revoke","No hay token refrescado, nada que revocar"
"No refresh token, unable to refresh access token","No hay token refrescado, imposible refrescar token de acceso"
"Unable to retrieve request token","Imposible de obtener token de petición"
"Unable to retrieve access token","Imposible de obtener token de acceso"
"Unable to proceed without an access token","Imposible proceder sin un token de acceso"
"You have successfully disconnected your Facebook account from our store account.","Has desconectado exitosamente tu cuenta de Facebook de tu cuenta en nuestra tienda."
"Facebook Connect process aborted.","Conector de Facebook: Proceso abortado."
"Sorry, "%s" error occured. Please try again.","Lo sentimos, Ocurrió un error "%s". Por favor intente nuevamente."
"Your Facebook account is already connected to one of our store accounts.","Tu cuenta de Facebook ya se encuentra conectada a alguna cuenta en nuestra tienda."
"Your Facebook account is now connected to your store accout. You can now login using our Facebook Connect button or using store account credentials you will receive to your email address.",
"Tu cuenta de Facebook está ahora conectada a tu cuenta de la tienda. Ahora puedes iniciar sesión usando nuestro botón Conector de Facebook o usando tus credenciales de la tienda que recibirás en tu correo electrónico."
"You have successfully logged in using your Facebook account.","Has iniciado sesión exitosamente usando tu cuenta de Facebook."
"We have discovered you already have an account at our store. Your Facebook account is now connected to your store account.","Hemos descubierto que tu ya tienes una cuenta en nuestra tienda. Tu cuenta de Facebook está ahora conectada a tu cuenta de la tienda."
"Sorry, could not retrieve your Facebook first name. Please try again.","Lo sentimos, no pudimos obtener tu nombre en Facebook. Por favor intenta nuevamente"
"Sorry, could not retrieve your Facebook last name. Please try again.","Lo sentimos, no pudimos obtener tu apellido en Facebook. Por favor intenta nuevamente."
"Your Facebook account is now connected to your new user accout at our store. Now you can login using our Facebook Connect button or using store account credentials you will receive to your email address.","Tu cuenta de Facebook está ahora conectad a tu nueva cuenta en nuestra tienda. Ahora puedes iniciar sesión usando el botón de Conector de Facebook o usando las credenciales de la cuenta que recibiras en tu correo electrónico."
"You have successfully disconnected your Google account from our store account.","Has desconectado exitosamente tu cuenta de Google de nuestra tienda."
"Google Connect process aborted.","Proceso de Conector de Google abortado."
"Your Google account is already connected to one of our store accounts.","Tu cuenta de Google ya está conectada a una de nuestras cuentas de la tienda."
"Your Google account is now connected to your store accout. You can now login using our Google Connect button or using store account credentials you will receive to your email address.","Tu cuenta de Google está ahora conectada a tu cuenta de la tienda. Ahora puedes iniciar sesión usando nuestro botón de Conectar Google o usando las credenciales de la tienda que recibirás en tu correo electrónico."
"You have successfully logged in using your Google account.","Tu has iniciado sesión exitosamente usando tu cuenta de Google."
"We have discovered you already have an account at our store. Your Google account is now connected to your store account.","Hemos descubierto que tu ya tienes una cuenta en nuestra tienda. Tu cuenta de Google está ahora conectada a tu cuenta en la tienda."
"Sorry, could not retrieve your Google first name. Please try again.","Lo sentimos, no pudimos obtener el nombre de tu cuenta en Google. Favor de intentar nuevamente."
"Sorry, could not retrieve your Google last name. Please try again.","Lo sentimos, no pudimos obtener el apellido de tu cuenta en Google. Favor de intentar nuevamente."
"Your Google account is now connected to your new user accout at our store. Now you can login using our Google Connect button or using store account credentials you will receive to your email address.","Tu cuenta de Google está ahora conectada a tu nuevo usuario en nuestra tienda. Ahora puedes iniciar sesión usando nuestro botón de Conector de Google o usando las credenciales que tu recibirás en tu correo electrónico."
"You have successfully disconnected your Twitter account from our store account.","Tu has desconectado exitosamente tu cuenta de Twitter de tu cuenta en nuestra tienda."
"Twitter Connect process aborted.","Conector de Twitter: Proceso abortado."
"Your Twitter account is already connected to one of our store accounts.","Tu cuenta de Twitter ya está contectada a una cuenta de nuestras tiendas."
"Your Twitter account is now connected to your store accout. You can now login using our Twitter Connect button or using store account credentials you will receive to your email address.","Tu cuenta de Twitter está ahora conectada a tu cuenta de la tienda. Ahora puedes iniciar sesión usando nuestro botón de Conector de Twitter o usando las credenciales de la tienda que recibirás en tu correo electrónico."
"You have successfully logged in using your Twitter account.","Tu has iniciado sesión exitosamente usando tu cuenta de Twitter."
"We have discovered you already have an account at our store. Your Twitter account is now connected to your store account.","Hemos descubierto que tu ya tienes una cuenta en nuestra tienda. Tu cuenta de Twitter está ahora conectada a tu cuenta en la tienda."
