"Continue,""Nadaljujte"""
"Connect,""Povežite"""
"Disconnect,""Prekinite povezavo"""
"Login,""Prijavite se"""
"Register,""Registrirajte se"""
"Unable to retrieve access code,""Ne moremo pridobiti kode za dostop"""
"Required HTTP method is not supported,""Zahtevana HTTP metoda ni podprta"""
"Unspecified OAuth error occurred,""Nedoločena OAuth napaka!"""
"HTTP error %d occurred while issuing request,""Zgodila se je HTTP napaka %d med izdajo zahtevka"""
"No access token available,""Ni ključa za dostop"""
"No refresh token, nothing to revoke,""Ni osveževalnega ključa, nič ne prekliče"""
"No refresh token, unable to refresh access token,""Ni osvežitvenega ključa, ne moremo pridobiti dostopnega kjuča"""
"Unable to retrieve request token,""Ne moremo pridobiti zahtevanega ključa"""
"Unable to retrieve access token,""Ne moremo pridobiti dostopnga ključa"""
"Unable to proceed without an access token,""Ne moremo nadaljevati brez dostopnega ključa"""
"You have successfully disconnected your Facebook account from our store account.,""Uspešno ste odjavili Facebook račun z naše trgovine."""
"Facebook Connect process aborted.,""Facebook prijava preklicana."""
"Sorry, %s"" error occured. Please try again."",""Oprostite, prišlo je do ""%."" napak. Prosimo, poskusite znova."""
"Your Facebook account is already connected to one of our store accounts.,""Vaš Facebook račun je že prijavljen v eni od naših trgovin."""
"Your Facebook account is now connected to your store accout. You can now login using our Facebook Connect button or using store account credentials you will receive to your email address.,""Vaš Facebook račun je povezan z našo trgovino. Lahko se prijavite z uporabo Facebook prijavnega gumba ali poverilnic naše trgovine prejetih po eletronski pošti."""
"You have successfully logged in using your Facebook account.,""Uspešno ste se prijavili z uporabo Facebook računa."""
"We have discovered you already have an account at our store. Your Facebook account is now connected to your store account.,""Ugotovili smo, da imate v naši trgovini že odprt račun. Vaš Facebook račun smo povezali z računom v trgovini."""
"Sorry, could not retrieve your Facebook first name. Please try again.,""Opostite, preko Facebooka nismo uspeli pridobiti vašega imena. Prosimo, poskusite ponovno."""
"Sorry, could not retrieve your Facebook last name. Please try again.,""Opostite, preko Facebooka nismo uspeli pridobiti vašega priimka. Prosimo, poskusite ponovno."""
"Your Facebook account is now connected to your new user accout at our store. Now you can login using our Facebook Connect button or using store account credentials you will receive to your email address.,""Vaš Facebook račun je povezan z vašim novim uporabniškim računom v naši trgovini. Lahko se prijavite z uporabo Facebook prijavnega gumba ali poverilnic naše trgovine prejetih po eletronski pošti."""
"You have successfully disconnected your Google account from our store account.,""Uspešno ste odjavili Google račun z naše trgovine."""
"Google Connect process aborted.,""Google prijava preklicana."""
"Your Google account is already connected to one of our store accounts.,""Vaš Google račun je že prijavljen v eni od naših trgovin."""
"Your Google account is now connected to your store accout. You can now login using our Google Connect button or using store account credentials you will receive to your email address.,""Vaš Google račun je povezan z našo trgovino. Lahko se prijavite z uporabo Google prijavnega gumba ali poverilnic naše trgovine prejetih po eletronski pošti."""
"You have successfully logged in using your Google account.,""Uspešno ste se prijavili z uporabo Google računa."""
"We have discovered you already have an account at our store. Your Google account is now connected to your store account.,""Ugotovili smo, da imate v naši trgovini že odprt račun. Vaš Google račun smo povezali z računom v trgovini."""
"Sorry, could not retrieve your Google first name. Please try again.,""Opostite, preko Googla nismo uspeli pridobiti vašega imena. Prosimo, poskusite ponovno."""
"Sorry, could not retrieve your Google last name. Please try again.,""Opostite, preko Googla nismo uspeli pridobiti vašega priimka. Prosimo, poskusite ponovno."""
"Your Google account is now connected to your new user accout at our store. Now you can login using our Google Connect button or using store account credentials you will receive to your email address.,""Vaš Google račun je povezan z vašim novim uporabniškim računom v naši trgovini. Lahko se prijavite z uporabo Google prijavnega gumba ali poverilnic naše trgovine prejetih po eletronski pošti."""
"You have successfully disconnected your Twitter account from our store account.,""Uspešno ste odjavili Twitter račun z naše trgovine."""
"Twitter Connect process aborted.,""Twitter prijava preklicana."""
"Your Twitter account is already connected to one of our store accounts.,""Vaš Twitter račun je že prijavljen v eni od naših trgovin."""
"Your Twitter account is now connected to your store accout. You can now login using our Twitter Connect button or using store account credentials you will receive to your email address.,""Vaš Twitter račun je povezan z našo trgovino. Lahko se prijavite z uporabo Twitter prijavnega gumba ali poverilnic naše trgovine prejetih po eletronski pošti."""
"You have successfully logged in using your Twitter account.,""Uspešno ste se prijavili z uporabo Twitter računa."""
"We have discovered you already have an account at our store. Your Twitter account is now connected to your store account.,""Ugotovili smo, da imate v naši trgovini že odprt račun. Vaš Twitter račun smo povezali z računom v trgovini."""
"Sorry, could not retrieve your Twitter last name. Please try again.,""Opostite, preko Twitter-ja nismo uspeli pridobiti vašega priimka. Prosimo, poskusite ponovno."""
"Your Twitter account is now connected to your new user accout at our store. Now you can login using our Twitter Connect button.,""Vaš Twitter račun je povezan z vašim novim uporabniškim računom v naši trgovini. Lahko se prijavite z uporabo Twitter prijavnega gumba."""
"Since Twitter doesn\'t support third-party access to your email address, we were unable to send you your store accout credentials. To be able to login using store account credentials you will need to update your email address and password using our <a href=%s"">Edit Account Information</a>."",""Ker Twitter ne podpira dostopa zunanjih aplikacij do vašega e-poštnega naslova, vam ne moremo polati poverilnic vašega računa. Za uporabo računa trgovine morate posodobiti e-poštni naslov in geslo z uporabo <a href=""%s"">Posodobi informacije računa</a>."""
"Google Connect,""Google prijava"""
